Year,Team,Position,Points,Profit(£),Age,Name,Height(cm)
2015,Chelsea FC,1,87,99.0,27.0,Thibaut Courtois,200
2015,Chelsea FC,1,87,99.0,27.0,Jamal Blackman,199
2015,Chelsea FC,1,87,99.0,27.0,Mitchell Beeney,198
2015,Chelsea FC,1,87,99.0,27.0,Petr Čech,196
2015,Chelsea FC,1,87,99.0,27.0,Nemanja Matić,194
2015,Chelsea FC,1,87,99.0,27.0,Gary Cahill,193
2015,Chelsea FC,1,87,99.0,27.0,Ruben Loftus-Cheek,191
2015,Chelsea FC,1,87,99.0,27.0,Kurt Zouma,190
2015,Chelsea FC,1,87,99.0,27.0,Didier Drogba,188
2015,Chelsea FC,1,87,99.0,27.0,John Mikel Obi,188
2015,Chelsea FC,1,87,99.0,27.0,Andreas Christensen,187
2015,Chelsea FC,1,87,99.0,27.0,Dominic Solanke,187
2015,Chelsea FC,1,87,99.0,27.0, Diego Costa,185
2015,Chelsea FC,1,87,99.0,27.0,Branislav Ivanović,185
2015,Chelsea FC,1,87,99.0,27.0,Loïc Rémy,185
2015,Chelsea FC,1,87,99.0,27.0,John Terry,184
2015,Chelsea FC,1,87,99.0,27.0,Izzy Brown,182
2015,Chelsea FC,1,87,99.0,27.0, Filipe Luís,182
2015,Chelsea FC,1,87,99.0,27.0,Nathan Aké,180
2015,Chelsea FC,1,87,99.0,27.0, Oscar,180
2015,Chelsea FC,1,87,99.0,27.0, Ramires,180
2015,Chelsea FC,1,87,99.0,27.0, Cesc Fàbregas,179
2015,Chelsea FC,1,87,99.0,27.0, Azpilicueta,178
2015,Chelsea FC,1,87,99.0,27.0,Juan Cuadrado,176
2015,Chelsea FC,1,87,99.0,27.0,Eden Hazard,175
2015,Chelsea FC,1,87,99.0,27.0, Willian,175
2015,Chelsea FC,1,87,99.0,27.0,Jérémie Boga,172
2015,Manchester City,2,79,98.5,28.6,Joe Hart,196
2015,Manchester City,2,79,98.5,28.6,Edin Džeko,193
2015,Manchester City,2,79,98.5,28.6,Vincent Kompany,190
2015,Manchester City,2,79,98.5,28.6,Richard Wright,189
2015,Manchester City,2,79,98.5,28.6,Dedryck Boyata,188
2015,Manchester City,2,79,98.5,28.6,Yaya Touré,188
2015,Manchester City,2,79,98.5,28.6,Aleksandar Kolarov,187
2015,Manchester City,2,79,98.5,28.6,Eliaquim Mangala,187
2015,Manchester City,2,79,98.5,28.6,Willy Caballero,186
2015,Manchester City,2,79,98.5,28.6,Martín Demichelis,184
2015,Manchester City,2,79,98.5,28.6, Fernando,183
2015,Manchester City,2,79,98.5,28.6,Stevan Jovetić,183
2015,Manchester City,2,79,98.5,28.6,Frank Lampard,183
2015,Manchester City,2,79,98.5,28.6,Wilfried Bony,182
2015,Manchester City,2,79,98.5,28.6,Bersant Celina,181
2015,Manchester City,2,79,98.5,28.6,Thierry Ambrose,180
2015,Manchester City,2,79,98.5,28.6, Fernandinho,179
2015,Manchester City,2,79,98.5,28.6,George Glendon,177
2015,Manchester City,2,79,98.5,28.6,Samir Nasri,177
2015,Manchester City,2,79,98.5,28.6,Gaël Clichy,176
2015,Manchester City,2,79,98.5,28.6,Bacary Sagna,176
2015,Manchester City,2,79,98.5,28.6,James Milner,175
2015,Manchester City,2,79,98.5,28.6,Sergio Agüero,173
2015,Manchester City,2,79,98.5,28.6,Pablo Zabaleta,173
2015,Manchester City,2,79,98.5,28.6, José Pozo,171
2015,Manchester City,2,79,98.5,28.6, David Silva,170
2015,Manchester City,2,79,98.5,28.6, Jesús Navas,170
2015,Arsenal FC,3,75,96.5,26.1,Matt Macey,201
2015,Arsenal FC,3,75,96.5,26.1,Per Mertesacker,198
2015,Arsenal FC,3,75,96.5,26.1,Ryan Huddart,196
2015,Arsenal FC,3,75,96.5,26.1,Wojciech Szczęsny,195
2015,Arsenal FC,3,75,96.5,26.1,Semi Ajayi,193
2015,Arsenal FC,3,75,96.5,26.1,Olivier Giroud,193
2015,Arsenal FC,3,75,96.5,26.1,Stefan O'Connor,193
2015,Arsenal FC,3,75,96.5,26.1,Abou Diaby,191
2015,Arsenal FC,3,75,96.5,26.1,Isaac Hayden,187
2015,Arsenal FC,3,75,96.5,26.1,Laurent Koscielny,186
2015,Arsenal FC,3,75,96.5,26.1, Gabriel Paulista,185
2015,Arsenal FC,3,75,96.5,26.1,Danny Welbeck,185
2015,Arsenal FC,3,75,96.5,26.1,Alex Iwobi,183
2015,Arsenal FC,3,75,96.5,26.1,David Ospina,183
2015,Arsenal FC,3,75,96.5,26.1,Calum Chambers,182
2015,Arsenal FC,3,75,96.5,26.1,Kieran Gibbs,180
2015,Arsenal FC,3,75,96.5,26.1,Alex Oxlade-Chamberlain,180
2015,Arsenal FC,3,75,96.5,26.1,Mesut Özil,180
2015,Arsenal FC,3,75,96.5,26.1,Gedion Zelalem,180
2015,Arsenal FC,3,75,96.5,26.1, Nacho Monreal,179
2015,Arsenal FC,3,75,96.5,26.1,Mathieu Flamini,178
2015,Arsenal FC,3,75,96.5,26.1, Héctor Bellerín,178
2015,Arsenal FC,3,75,96.5,26.1,Glen Kamara,178
2015,Arsenal FC,3,75,96.5,26.1,Aaron Ramsey,178
2015,Arsenal FC,3,75,96.5,26.1,Tomáš Rosický,178
2015,Arsenal FC,3,75,96.5,26.1,Francis Coquelin,177
2015,Arsenal FC,3,75,96.5,26.1,Mathieu Debuchy,177
2015,Arsenal FC,3,75,96.5,26.1,Ainsley Maitland-Niles,177
2015,Arsenal FC,3,75,96.5,26.1,Serge Gnabry,176
2015,Arsenal FC,3,75,96.5,26.1, Mikel Arteta,176
2015,Arsenal FC,3,75,96.5,26.1,Theo Walcott,175
2015,Arsenal FC,3,75,96.5,26.1,Tafari Moore,173
2015,Arsenal FC,3,75,96.5,26.1,Brandon Ormonde-Ottewill,172
2015,Arsenal FC,3,75,96.5,26.1,Jack Wilshere,172
2015,Arsenal FC,3,75,96.5,26.1,Alexis Sánchez,169
2015,Arsenal FC,3,75,96.5,26.1, Santi Cazorla,168
2015,Manchester United,4,70,96.8,26.0,Marouane Fellaini,194
2015,Manchester United,4,70,96.8,26.0,Chris Smalling,194
2015,Manchester United,4,70,96.8,26.0,Anders Lindegaard,193
2015,Manchester United,4,70,96.8,26.0, De Gea,192
2015,Manchester United,4,70,96.8,26.0,Paddy McNair,189
2015,Manchester United,4,70,96.8,26.0,Jonny Evans,188
2015,Manchester United,4,70,96.8,26.0,Michael Carrick,186
2015,Manchester United,4,70,96.8,26.0,Adnan Januzaj,186
2015,Manchester United,4,70,96.8,26.0,Marcos Rojo,186
2015,Manchester United,4,70,96.8,26.0,Phil Jones,185
2015,Manchester United,4,70,96.8,26.0,James Wilson,184
2015,Manchester United,4,70,96.8,26.0,Tyler Blackett,183
2015,Manchester United,4,70,96.8,26.0,Tom Thorpe,183
2015,Manchester United,4,70,96.8,26.0,Robin van Persie,183
2015,Manchester United,4,70,96.8,26.0, Víctor Valdés,183
2015,Manchester United,4,70,96.8,26.0, Ander Herrera,182
2015,Manchester United,4,70,96.8,26.0,Ben Amos,180
2015,Manchester United,4,70,96.8,26.0,Daley Blind,180
2015,Manchester United,4,70,96.8,26.0,Ángel Di María,180
2015,Manchester United,4,70,96.8,26.0,Antonio Valencia,180
2015,Manchester United,4,70,96.8,26.0, Andreas Pereira,178
2015,Manchester United,4,70,96.8,26.0,Luke Shaw,178
2015,Manchester United,4,70,96.8,26.0,Radamel Falcao,177
2015,Manchester United,4,70,96.8,26.0,Wayne Rooney,176
2015,Manchester United,4,70,96.8,26.0,Ashley Young,175
2015,Manchester United,4,70,96.8,26.0, Rafael,172
2015,Manchester United,4,70,96.8,26.0,Andrew Kellett,171
2015,Manchester United,4,70,96.8,26.0, Juan Mata,170
2015,Tottenham Hotspur,5,64,88.8,24.4,Federico Fazio,195
2015,Tottenham Hotspur,5,64,88.8,24.4,Brad Friedel,193
2015,Tottenham Hotspur,5,64,88.8,24.4,Luke McGee,193
2015,Tottenham Hotspur,5,64,88.8,24.4,Emmanuel Adebayor,192
2015,Tottenham Hotspur,5,64,88.8,24.4,Eric Dier,191
2015,Tottenham Hotspur,5,64,88.8,24.4,Younès Kaboul,190
2015,Tottenham Hotspur,5,64,88.8,24.4,Étienne Capoue,189
2015,Tottenham Hotspur,5,64,88.8,24.4,Alex McQueen,189
2015,Tottenham Hotspur,5,64,88.8,24.4,Jan Vertonghen,189
2015,Tottenham Hotspur,5,64,88.8,24.4,Harry Kane,188
2015,Tottenham Hotspur,5,64,88.8,24.4,Hugo Lloris,188
2015,Tottenham Hotspur,5,64,88.8,24.4,Nabil Bentaleb,187
2015,Tottenham Hotspur,5,64,88.8,24.4,Nacer Chadli,187
2015,Tottenham Hotspur,5,64,88.8,24.4,Josh Onomah,185
2015,Tottenham Hotspur,5,64,88.8,24.4,Vlad Chiricheş,184
2015,Tottenham Hotspur,5,64,88.8,24.4,Érik Lamela,184
2015,Tottenham Hotspur,5,64,88.8,24.4,Connor Ogilvie,184
2015,Tottenham Hotspur,5,64,88.8,24.4, Paulinho,183
2015,Tottenham Hotspur,5,64,88.8,24.4,Michel Vorm,183
2015,Tottenham Hotspur,5,64,88.8,24.4,Christian Eriksen,182
2015,Tottenham Hotspur,5,64,88.8,24.4,Ben Davies,181
