Year,Team,Position,Points,Profit(£),Age,Name,Annual Salary(£)
2015,Chelsea FC,1,87,99.0,27.0,Costa,9620000
2015,Chelsea FC,1,87,99.0,27.0,Fàbregas,8112000
2015,Chelsea FC,1,87,99.0,27.0,Hazard,7800000
2015,Chelsea FC,1,87,99.0,27.0,Cech,6240000
2015,Chelsea FC,1,87,99.0,27.0,Courtois,6240000
2015,Chelsea FC,1,87,99.0,27.0,Cahill,4680000
2015,Chelsea FC,1,87,99.0,27.0,Remy,4680000
2015,Chelsea FC,1,87,99.0,27.0,Matic,4680000
2015,Chelsea FC,1,87,99.0,27.0,da Silva,4420000
2015,Chelsea FC,1,87,99.0,27.0,Ivanovic,3900000
2015,Chelsea FC,1,87,99.0,27.0,Azpilicueta,3120000
2015,Chelsea FC,1,87,99.0,27.0,Courtois,3120000
2015,Chelsea FC,1,87,99.0,27.0,Moses,2600000
2015,Chelsea FC,1,87,99.0,27.0,Zouma,2200000
2015,Chelsea FC,1,87,99.0,27.0,Pasalic,1196000
2015,Chelsea FC,1,87,99.0,27.0,Brown,1040000
2015,Chelsea FC,1,87,99.0,27.0,Omeruo,1040000
2015,Chelsea FC,1,87,99.0,27.0,Baker,1040000
2015,Chelsea FC,1,87,99.0,27.0,Piazón,832000
2015,Chelsea FC,1,87,99.0,27.0,Schwarzer,625291
2015,Chelsea FC,1,87,99.0,27.0,Atsu,520000
2015,Chelsea FC,1,87,99.0,27.0,Blackman,416000
2015,Chelsea FC,1,87,99.0,27.0,Cuevas,312000
2015,Chelsea FC,1,87,99.0,27.0,Chalobah,260000
2015,Manchester City,2,79,98.5,28.6,Aguero,11440000
2015,Manchester City,2,79,98.5,28.6,Toure,11440000
2015,Manchester City,2,79,98.5,28.6,Silva,8320000
2015,Manchester City,2,79,98.5,28.6,Nasri,7800000
2015,Manchester City,2,79,98.5,28.6,Kompany,7800000
2015,Manchester City,2,79,98.5,28.6,Hart,6032000
2015,Manchester City,2,79,98.5,28.6,Mangala,5200000
2015,Manchester City,2,79,98.5,28.6,Luis Roza,5200000
2015,Manchester City,2,79,98.5,28.6,Reges,5200000
2015,Manchester City,2,79,98.5,28.6,Bony,5200000
2015,Manchester City,2,79,98.5,28.6,Kolarov,3588000
2015,Manchester City,2,79,98.5,28.6,Zuculini,1300000
2015,Arsenal FC,3,75,96.5,26.1,Sanchez,7280000
2015,Arsenal FC,3,75,96.5,26.1,Ozil,7280000
2015,Arsenal FC,3,75,96.5,26.1,Welbeck,6500000
2015,Arsenal FC,3,75,96.5,26.1,Ramsey,5720000
2015,Arsenal FC,3,75,96.5,26.1,Podolski,5564000
2015,Arsenal FC,3,75,96.5,26.1,Walcott,5200000
2015,Arsenal FC,3,75,96.5,26.1,Szczesny,5200000
2015,Arsenal FC,3,75,96.5,26.1,Wilshere,4680000
2015,Arsenal FC,3,75,96.5,26.1,Ramsey,4160000
2015,Arsenal FC,3,75,96.5,26.1,Giroud,4160000
2015,Arsenal FC,3,75,96.5,26.1,Cazorla,4160000
2015,Arsenal FC,3,75,96.5,26.1,Debuchy,3900000
2015,Arsenal FC,3,75,96.5,26.1,Rosicky,3900000
2015,Arsenal FC,3,75,96.5,26.1,Oxlade-Chamberlain,3380000
2015,Arsenal FC,3,75,96.5,26.1,Mertesacker,3380000
2015,Arsenal FC,3,75,96.5,26.1,Koscielny,3120000
2015,Arsenal FC,3,75,96.5,26.1,Bellerin,2600000
2015,Arsenal FC,3,75,96.5,26.1,Monreal,2600000
2015,Arsenal FC,3,75,96.5,26.1,Gibbs,2392000
2015,Arsenal FC,3,75,96.5,26.1,Chambers,2340000
2015,Arsenal FC,3,75,96.5,26.1,Ospina,2080000
2015,Arsenal FC,3,75,96.5,26.1,Jenkinson,1560000
2015,Arsenal FC,3,75,96.5,26.1,Coquelin,1560000
2015,Arsenal FC,3,75,96.5,26.1,Campbell,1560000
2015,Arsenal FC,3,75,96.5,26.1,Akpom,1040000
2015,Arsenal FC,3,75,96.5,26.1,Sanogo,1040000
2015,Arsenal FC,3,75,96.5,26.1,Zelalem,312000
2015,Arsenal FC,3,75,96.5,26.1,Bielik,208000
2015,Manchester United,4,70,96.8,26.0,Rooney,15600000
2015,Manchester United,4,70,96.8,26.0,Mata,8320000
2015,Manchester United,4,70,96.8,26.0,Herrera,5980000
2015,Manchester United,4,70,96.8,26.0,Shaw,5720000
2015,Manchester United,4,70,96.8,26.0,Rojo,5720000
2015,Manchester United,4,70,96.8,26.0,Valencia,4420000
2015,Manchester United,4,70,96.8,26.0,Fellaini,4160000
2015,Manchester United,4,70,96.8,26.0,Blind,3900000
