Year,Position,Profit(£),Age,Height(cm),team_encode
2015,1,99.0,27.0,185.52,7
2015,2,98.5,28.6,181.37,17
2015,3,96.5,26.1,182.0,1
2015,4,96.8,26.0,182.43,18
2015,5,88.8,24.4,183.53,29
2015,6,92.8,25.2,181.14,15
2015,7,82.6,26.0,183.31,25
2015,8,80.6,26.6,181.91,28
2015,9,77.8,27.4,185.58,26
2015,10,77.3,27.8,185.0,8
2015,11,80.6,27.9,182.5,9
2015,12,76.3,26.8,184.3,32
2015,13,72.9,28.0,183.85,31
2015,14,71.6,27.9,182.97,14
2015,15,77.8,25.9,181.44,20
2015,16,69.9,27.8,182.79,27
2015,17,68.6,26.3,181.41,2
2015,18,66.6,27.4,182.57,12
2015,19,65.4,27.2,182.08,5
2015,20,64.9,28.2,182.47,23
2016,1,93.2,27.7,183.5,14
2016,2,101.0,27.0,182.79,1
2016,3,95.2,24.5,184.32,29
2016,4,97.0,28.3,182.36,17
2016,5,96.4,25.6,184.0,18
2016,6,84.8,26.4,186.65,25
2016,7,85.8,26.6,184.67,32
2016,8,90.5,25.2,183.21,15
2016,9,79.5,27.4,186.44,26
2016,10,87.2,26.8,184.93,7
2016,11,83.0,26.5,183.41,9
2016,12,75.8,27.6,183.1,28
2016,13,74.6,28.2,184.39,30
2016,14,73.3,29.1,184.61,31
2016,15,72.1,27.7,184.58,8
2016,16,70.8,27.7,184.1,0
2016,17,71.8,27.3,183.33,27
2016,18,72.8,25.4,182.81,20
2016,19,67.1,27.7,182.4,21
2016,20,66.6,26.6,182.56,2
2017,1,153.2,27.2,184.46,7
2017,2,148.5,25.3,182.43,29
2017,3,149.4,28.5,179.93,17
2017,4,148.4,26.1,181.66,15
2017,5,142.8,26.9,183.36,1
2017,6,143.6,26.7,183.18,18
2017,7,132.4,27.5,182.57,9
2017,8,127.6,26.0,181.91,25
2017,9,123.8,27.0,181.97,0
2017,10,120.0,29.4,186.17,31
2017,11,121.9,27.1,182.94,32
2017,12,120.9,27.8,183.41,14
2017,13,113.3,28.7,183.43,26
2017,14,115.2,27.7,184.0,8
2017,15,109.5,27.4,181.97,28
2017,16,107.6,27.7,183.24,5
2017,17,108.5,29.0,183.74,30
2017,18,103.7,27.4,183.25,12
2017,19,104.6,27.3,183.72,19
2017,20,99.9,26.8,181.8,27
2018,1,149.4,26.4,180.52,17
2018,2,149.8,26.7,184.11,18
2018,3,144.4,25.8,183.25,29
2018,4,145.9,25.6,182.89,15
2018,5,141.7,26.7,183.11,7
2018,6,142.0,26.8,182.62,1
2018,7,119.8,27.5,182.29,5
2018,8,128.0,26.7,182.86,9
2018,9,118.2,27.2,182.93,14
2018,10,123.0,25.6,182.5,20
2018,11,114.3,27.1,183.74,8
2018,12,111.2,26.9,181.18,0
2018,13,116.1,28.0,181.5,32
2018,14,106.3,27.9,184.69,30
2018,15,107.7,27.5,182.06,4
2018,16,102.4,26.4,184.62,11
2018,17,107.2,26.2,182.88,25
2018,18,98.5,27.2,181.62,28
2018,19,98.9,27.5,184.25,26
2018,20,94.7,29.1,185.8,31
2019,1,147.5,26.7,180.69,17
2019,2,149.0,26.1,181.62,15
2019,3,142.6,27.3,183.7,7
2019,4,141.8,26.8,183.38,29
2019,5,138.8,26.7,182.62,1
2019,6,139.1,26.3,183.14,18
2019,7,123.9,26.1,181.92,33
2019,8,125.3,25.7,182.38,9
