Name,Team,Annual Salary(£),Year
Rooney,Manchester United,15600000,2015
Aguero,Manchester City,11440000,2015
Toure,Manchester City,11440000,2015
Costa,Chelsea FC,9620000,2015
Silva,Manchester City,8320000,2015
Mata,Manchester United,8320000,2015
Fàbregas,Chelsea FC,8112000,2015
Hazard,Chelsea FC,7800000,2015
Nasri,Manchester City,7800000,2015
Kompany,Manchester City,7800000,2015
Sanchez,Arsenal FC,7280000,2015
Ozil,Arsenal FC,7280000,2015
Sturridge,Liverpool FC,6760000,2015
Welbeck,Arsenal FC,6500000,2015
Cech,Chelsea FC,6240000,2015
Courtois,Chelsea FC,6240000,2015
Hart,Manchester City,6032000,2015
Herrera,Manchester United,5980000,2015
Ramsey,Arsenal FC,5720000,2015
Shaw,Manchester United,5720000,2015
Rojo,Manchester United,5720000,2015
Podolski,Arsenal FC,5564000,2015
Mangala,Manchester City,5200000,2015
Luis Roza,Manchester City,5200000,2015
Reges,Manchester City,5200000,2015
Walcott,Arsenal FC,5200000,2015
Bony,Manchester City,5200000,2015
Szczesny,Arsenal FC,5200000,2015
Carroll,West Ham United,4680000,2015
Cahill,Chelsea FC,4680000,2015
Wilshere,Arsenal FC,4680000,2015
Remy,Chelsea FC,4680000,2015
Matic,Chelsea FC,4680000,2015
Valencia,Manchester United,4420000,2015
da Silva,Chelsea FC,4420000,2015
Ramsey,Arsenal FC,4160000,2015
Lamela,Tottenham Hotspur,4160000,2015
Fellaini,Manchester United,4160000,2015
Giroud,Arsenal FC,4160000,2015
Lukaku,Everton FC,4160000,2015
Cazorla,Arsenal FC,4160000,2015
Ivanovic,Chelsea FC,3900000,2015
Blind,Manchester United,3900000,2015
De Gea,Manchester United,3900000,2015
Leiva,Liverpool FC,3900000,2015
Debuchy,Arsenal FC,3900000,2015
Rosicky,Arsenal FC,3900000,2015
Defoe,Sheffield United,3640000,2015
Kolarov,Manchester City,3588000,2015
Lallana,Liverpool FC,3380000,2015
Oxlade-Chamberlain,Arsenal FC,3380000,2015
Bent,Aston Villa,3380000,2015
Lovren,Liverpool FC,3380000,2015
Diouf,Stoke City,3380000,2015
Mertesacker,Arsenal FC,3380000,2015
Baines,Everton FC,3167996,2015
Januzaj,Manchester United,3120000,2015
Benteke,Aston Villa,3120000,2015
Azpilicueta,Chelsea FC,3120000,2015
Koscielny,Arsenal FC,3120000,2015
Courtois,Chelsea FC,3120000,2015
Reid,West Ham United,3120000,2015
Coutinho,Liverpool FC,2730000,2015
Kane,Tottenham Hotspur,2600000,2015
Bellerin,Arsenal FC,2600000,2015
Noble,West Ham United,2600000,2015
Monreal,Arsenal FC,2600000,2015
Krul,Newcastle United,2600000,2015
Moses,Chelsea FC,2600000,2015
Barkley,Everton FC,2496000,2015
Gibbs,Arsenal FC,2392000,2015
Chambers,Arsenal FC,2340000,2015
Drinkwater,Leicester City,2340000,2015
Can,Liverpool FC,2340000,2015
Fazio,Tottenham Hotspur,2340000,2015
Mirallas,Everton FC,2340000,2015
Shawcross,Stoke City,2340000,2015
Fernandez,Swansea City,2236000,2015
Zouma,Chelsea FC,2200000,2015
McGeady,Everton FC,2184000,2015
Moreno,Liverpool FC,2080000,2015
Ospina,Arsenal FC,2080000,2015
Valencia,West Ham United,2080000,2015
de Jong,Newcastle United,2080000,2015
Coleman,Everton FC,1976000,2015
Ki,Swansea City,1872000,2015
Routledge,Swansea City,1872000,2015
Surman,AFC Bournemouth,1820000,2015
Rivière,Newcastle United,1820000,2015
Campbell,Crystal Palace,1820000,2015
Colback,Newcastle United,1820000,2015
Cork,Swansea City,1820000,2015
Markovic,Liverpool FC,1820000,2015
Anita,Newcastle United,1820000,2015
Gouffran,Newcastle United,1820000,2015
Ireland,Stoke City,1716000,2015
Naughton,Swansea City,1664000,2015
Bardsley,Stoke City,1612000,2015
Jenkinson,Arsenal FC,1560000,2015
Sakho,West Ham United,1560000,2015
Gardos,Southampton FC,1560000,2015
Coquelin,Arsenal FC,1560000,2015
Campbell,Arsenal FC,1560000,2015
Sterling,Liverpool FC,1560000,2015
McManaman,West Bromwich Albion,1456000,2015
Origi,Liverpool FC,1456000,2015
Mutch,Crystal Palace,1456000,2015
Yoshida,Southampton FC,1456000,2015
Ulloa,Leicester City,1404000,2015
Kone,Everton FC,1300000,2015
Zuculini,Manchester City,1300000,2015
Lee,Crystal Palace,1300000,2015
Alli,Tottenham Hotspur,1300000,2015
McCarthy,Everton FC,1300000,2015
Ledley,Crystal Palace,1300000,2015
Darlow,Newcastle United,1300000,2015
Kelly,Crystal Palace,1300000,2015
James,Leicester City,1300000,2015
Besic,Everton FC,1300000,2015
Galloway,Everton FC,1196000,2015
Pasalic,Chelsea FC,1196000,2015
Keane,Burnley FC,1144000,2015
Cole,Aston Villa,1100000,2015
Pereira,Manchester United,1040000,2015
Begovic,Stoke City,1040000,2015
Akpom,Arsenal FC,1040000,2015
Gosling,AFC Bournemouth,1040000,2015
Boyd,Burnley FC,1040000,2015
Brown,Chelsea FC,1040000,2015
Robles,Everton FC,1040000,2015
Omeruo,Chelsea FC,1040000,2015
Baker,Chelsea FC,1040000,2015
