Team,Market Value(£),Year
Manchester City,357.21,2015
Arsenal FC,336.21,2015
Chelsea FC,424.83,2015
Liverpool FC,267.54,2015
Manchester United,365.61,2015
Tottenham Hotspur,236.75,2015
Newcastle United,108.36,2015
Brighton & Hove Albion,13.69,2015
Aston Villa,83.37,2015
West Ham United,97.69,2015
Nottingham Forest,29.44,2015
Manchester City,421.64,2016
Arsenal FC,375.69,2016
Chelsea FC,433.44,2016
Liverpool FC,304.21,2016
Manchester United,355.11,2016
Tottenham Hotspur,266.62,2016
Newcastle United,157.08,2016
Aston Villa,94.71,2016
Brighton & Hove Albion,29.06,2016
West Ham United,139.73,2016
Crystal Palace,106.41,2016
Manchester City,464.73,2017
Arsenal FC,442.68,2017
Chelsea FC,441.63,2017
Liverpool FC,333.65,2017
Manchester United,400.26,2017
Tottenham Hotspur,360.36,2017
Newcastle United,107.94,2017
Aston Villa,79.8,2017
Brighton & Hove Albion,42.46,2017
West Ham United,180.98,2017
Crystal Palace,144.63,2017
Manchester City,848.4,2018
Arsenal FC,440.79,2018
Chelsea FC,693.21,2018
Liverpool FC,621.18,2018
Manchester United,672.42,2018
Tottenham Hotspur,680.82,2018
Newcastle United,139.02,2018
Aston Villa,64.68,2018
Brighton & Hove Albion,115.67,2018
West Ham United,186.06,2018
Crystal Palace,164.92,2018
Manchester City,957.6,2019
Arsenal FC,540.12,2019
Chelsea FC,820.47,2019
Liverpool FC,811.65,2019
Manchester United,682.5,2019
Tottenham Hotspur,705.6,2019
Newcastle United,167.16,2019
Aston Villa,82.11,2019
Brighton & Hove Albion,148.85,2019
West Ham United,282.24,2019
Crystal Palace,198.41,2019
Manchester City,865.2,2020
Arsenal FC,479.93,2020
Chelsea FC,573.13,2020
Liverpool FC,837.44,2020
Manchester United,539.94,2020
Tottenham Hotspur,600.1,2020
Newcastle United,212.76,2020
Aston Villa,191.31,2020
Brighton & Hove Albion,164.47,2020
West Ham United,250.7,2020
Crystal Palace,145.74,2020
Manchester City,865.2,2021
Arsenal FC,480.56,2021
Chelsea FC,729.9,2021
Liverpool FC,823.2,2021
Manchester United,631.72,2021
Tottenham Hotspur,579.43,2021
Newcastle United,200.93,2021
Aston Villa,314.33,2021
Brighton & Hove Albion,228.98,2021
West Ham United,224.49,2021
Crystal Palace,160.76,2021
Manchester City,805.81,2022
Arsenal FC,437.64,2022
Chelsea FC,730.3,2022
Liverpool FC,779.1,2022
Manchester United,650.37,2022
Tottenham Hotspur,497.49,2022
Newcastle United,243.94,2022
Aston Villa,390.1,2022
Brighton & Hove Albion,233.02,2022
West Ham United,293.54,2022
Crystal Palace,198.03,2022
Manchester City,890.4,2023
Arsenal FC,784.56,2023
Chelsea FC,856.8,2023
Liverpool FC,738.36,2023
Manchester United,717.95,2023
Tottenham Hotspur,571.45,2023
Newcastle United,423.11,2023
Aston Villa,389.17,2023
Brighton & Hove Albion,292.82,2023
West Ham United,380.52,2023
Crystal Palace,251.58,2023
Manchester City,1108.8,2024
Arsenal FC,974.4,2024
Chelsea FC,776.16,2024
Liverpool FC,791.2,2024
Manchester United,603.67,2024
Tottenham Hotspur,666.37,2024
Newcastle United,545.12,2024
Aston Villa,550.7,2024
Brighton & Hove Albion,429.87,2024
West Ham United,369.26,2024
Crystal Palace,371.03,2024
